*コンボ数順/かんたん/200コンボ未満 [#title]
#contents
|CENTER:59|>|CENTER:83|BGCOLOR(white):|c
|難易度|>|項目||h
|BGCOLOR(orangered):かんたん|[[200コンボ以上>コンボ数順/かんたん]]|200コンボ未満||
|BGCOLOR(lime):ふつう|[[300コンボ以上>コンボ数順/ふつう]]|[[300コンボ未満>コンボ数順/ふつう(300コンボ未満)]]|~|
|BGCOLOR(cyan):むずかしい|[[500コンボ以上>コンボ数順/むずかしい]]|[[500コンボ未満>コンボ数順/むずかしい(500コンボ未満)]]|~|
|BGCOLOR(magenta):おに|[[600コンボ以上>コンボ数順/おに]]|[[600コンボ未満>コンボ数順/おに(600コンボ未満)]]|~|
-譜面分岐がある譜面は太字になっています。

//|~|[[>難易度表/かんたん/]]||

**曲ごとの最大コンボ数(200コンボ未満) [#song]
-同じコンボ数の場合は登場が早い順番に並べてあります。
***150〜199 [#more150]
|CENTER:46|||c
|~|[[友よ 〜この先もずっと…>難易度表/かんたん/友よ 〜この先もずっと…]]||
|~|[[好きな人がいること>難易度表/かんたん/好きな人がいること]]||
|~|[[Dive to Blue>難易度表/かんたん/Dive to Blue]]||
|~|[[Armor Break>難易度表/かんたん/Armor Break]]||
|~|[[Dreamin' World>難易度表/かんたん/Dreamin' World]]||
|82|[[愛のうた 〜ピクミンのテーマ>難易度表/かんたん/愛のうた 〜ピクミンのテーマ]]|[[【双打】 もりのくまさん>難易度表/かんたん/【双打】 もりのくまさん]](1P)|
|~|[[なんでだろう 両さんバージョン>難易度表/かんたん/なんでだろう　両さんバージョン]]||
|~|[[富士山>難易度表/かんたん/富士山]]||
|~|[[ハム太郎とっとこうた〜ノリノリでちゅ〜>難易度表/かんたん/ハム太郎とっとこうた〜ノリノリでちゅ〜]]||
|~|[[のし巻いて、太鼓っパラ！>難易度表/かんたん/のし巻いて、太鼓っパラ！]]||
|~|[[いぬのおまわりさん>難易度表/かんたん/いぬのおまわりさん]](AC8〜)((DS1除く))||
|~|[[獣拳戦隊ゲキレンジャー>難易度表/かんたん/獣拳戦隊ゲキレンジャー]]||
|~|[[ハイタッチ！>難易度表/かんたん/ハイタッチ！]]||
|~|[[どろろんガール>難易度表/かんたん/どろろんガール]]||
|~|[[ファッションモンスター>難易度表/かんたん/ファッションモンスター]]||
|~|[[DIMENSIONS>難易度表/かんたん/DIMENSIONS]]||
|~|[[Star!!>難易度表/かんたん/Star!!]]||
|~|[[ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング>難易度表/かんたん/ドラゴンボールヒーローズ ゴッドミッションシリーズ テーマソング]]||
|~|[[HOWEVER>難易度表/かんたん/HOWEVER]]||
|~|[[刀剣乱舞>難易度表/かんたん/刀剣乱舞]]||
|~|[[1・2・さんしのでドンドカッカッ！>難易度表/かんたん/1・2・さんしのでドンドカッカッ！]]||
|~|[[Dejavina (Japanese ver.)>難易度表/かんたん/Dejavina (Japanese ver.)]]||
|~|[[DDU-DU DDU-DU>難易度表/かんたん/DDU-DU DDU-DU]]||
|81|[[夏色>難易度表/かんたん/夏色]]|[[呪文降臨〜マジカル・フォース>難易度表/かんたん/呪文降臨〜マジカル・フォース]](2人用)|
|~|[[僕たちの行方>難易度表/かんたん/僕たちの行方]]|[[【双打】 もりのくまさん>難易度表/かんたん/【双打】 もりのくまさん]](2P)|
|~|[[月光花>難易度表/かんたん/月光花]]||
|~|[[オクラホマミキサー>難易度表/かんたん/オクラホマミキサー]]||
|~|[[PEACH>難易度表/かんたん/PEACH]]||
|~|[[勇気りんりん>難易度表/かんたん/勇気りんりん]](Wii2)||
|~|[[あまちゃん オープニングテーマ>難易度表/かんたん/あまちゃん]]||
|~|[[地球を回せっ！>難易度表/かんたん/地球を回せっ！]]||
|~|[[crossing field>難易度表/かんたん/crossing field]]||
|~|[[精舞門>難易度表/かんたん/精舞門]]||
|~|[[ころころここたま！>難易度表/かんたん/ころころここたま！]]||
|~|[[ダンシング・ヒーロー(Eat You Up)>難易度表/かんたん/ダンシング・ヒーロー(Eat You Up)]]||
|~|[[零 -ZERO->難易度表/かんたん/零 -ZERO-]]||
|~|[[進化理論>難易度表/かんたん/進化理論]]||
|~|[[うっせぇわ>難易度表/かんたん/うっせぇわ]]||
|80|[[ハリケンジャー参上！>難易度表/かんたん/ハリケンジャー参上!]]|[[月光花>難易度表/かんたん/月光花]](2人用譜面)|
|~|[[ウルトラマンの歌>難易度表/かんたん/ウルトラマンの歌]](アニメ祭)||
|~|[[葛飾ラプソディー 〜ヤムヤムVersion〜>難易度表/かんたん/葛飾ラプソディー 〜ヤムヤムVersion〜]]||
|~|[[オーソレ・ミオ>難易度表/かんたん/オーソレミオ(私の太陽)]]||
|~|[[いぬのおまわりさん>難易度表/かんたん/いぬのおまわりさん]](DS1)||
|~|[[アンパンマンのマーチ>難易度表/かんたん/アンパンマンのマーチ]](DS1)||
|~|[[愛をこめて花束を>難易度表/かんたん/愛をこめて花束を]]||
|~|[[パンパカパンツ>難易度表/かんたん/パンパカパンツ]]||
|~|[[海賊戦隊ゴーカイジャー>難易度表/かんたん/海賊戦隊ゴーカイジャー]]||
|~|[[色は匂へど 散りぬるを>難易度表/かんたん/色は匂へど 散りぬるを]]||
|~|[[DREAMERS' PARADISE>難易度表/かんたん/DREAMERS' PARADISE]]||
|~|[[黒い猫の歌>難易度表/かんたん/黒い猫の歌]]||
|~|[[人のお金で焼肉を食したい！>難易度表/かんたん/人のお金で焼肉を食したい！]]||
|~|[[GAT-TAI>難易度表/かんたん/GAT-TAI]]||
|~|[[ピースサイン>難易度表/かんたん/ピースサイン]]||
|~|[[今>難易度表/かんたん/今]]||
|~|[[8月の坂>難易度表/かんたん/8月の坂]]||
|~|[[命に嫌われている。>難易度表/かんたん/命に嫌われている。]]||
|~|[[RESTART>難易度表/かんたん/RESTART]]||
|79|[[きょうはたいこ曜日>難易度表/かんたん/きょうはたいこ曜日]]|[[Lady Marmalade>難易度表/かんたん/Lady Marmalade]](2人用2P)|
|~|[[三日月>難易度表/かんたん/三日月]]||
|~|[[小宇宙>難易度表/かんたん/小宇宙]]||
|~|[[曹操>難易度表/かんたん/曹操]]||
|~|[[Velonica>難易度表/かんたん/Velonica]]||
|~|[[勇気りんりん>難易度表/かんたん/勇気りんりん]](AC13〜)||
|~|[[となりのトトロ>難易度表/かんたん/となりのトトロ]]||
|~|[[君をのせて>難易度表/かんたん/君をのせて]]||
|~|[[I★my★me★mine>難易度表/かんたん/I★my★me★mine]]||
|~|[[Du-Du-Wa DO IT!!>難易度表/かんたん/Du-Du-Wa DO IT!!]]||
|~|[[シン・ゾンビ>難易度表/かんたん/シン・ゾンビ]]||
|~|[[ヒカリのdestination>難易度表/かんたん/ヒカリのdestination]]||
|~|[[Hello, Morning>難易度表/かんたん/Hello, Morning]]||
|~|[[DiSCOVER THE FUTURE>難易度表/かんたん/DiSCOVER THE FUTURE]]||
|~|[[Make debut!>難易度表/かんたん/Make debut!]]||
|~|[[Make it!>難易度表/かんたん/Make it!]]||
|78|[[American Girls>難易度表/かんたん/American Girls]]||
|~|[[ドラゴンクエストVIII 序曲>難易度表/かんたん/ドラゴンクエストVIII 序曲]]||
|~|[[めだかの兄妹>難易度表/かんたん/めだかの兄妹]]||
|~|[[道>難易度表/かんたん/道]]||
|~|[[さくらんぼ>難易度表/かんたん/さくらんぼ]](DS1)||
|~|[[ROCKET DIVE>難易度表/かんたん/ROCKET DIVE]]||
|~|[[豪石！超神ネイガー>難易度表/かんたん/豪石！超神ネイガー]]||
|~|[[小薇>難易度表/かんたん/小薇]]||
|~|[[透明だった世界>難易度表/かんたん/透明だった世界]]||
|~|[[ガツガツ!!>難易度表/かんたん/ガツガツ！！]]||
|~|[[情熱で胸アツ！>難易度表/かんたん/情熱で胸アツ！]]||
|~|[[PERFECT HUMAN>難易度表/かんたん/PERFECT HUMAN]]||
|~|[[ようこそジャパリパークへ>難易度表/かんたん/ようこそジャパリパークへ]]||
|~|[[Marine Mirage>難易度表/かんたん/Marine Mirage]]||
|~|[[風のとおり道>難易度表/かんたん/風のとおり道]]||
|77|[[魔法戦隊マジレンジャー>難易度表/かんたん/魔法戦隊マジレンジャー]]||
|~|[[Hero's Come Back!!>難易度表/かんたん/Hero's Come Back!!]]||
|~|[[チャンス！>難易度表/かんたん/チャンス！]]||
|~|[[恋はみずいろ>難易度表/かんたん/恋はみずいろ]]||
|~|[[Tank!>難易度表/かんたん/Tank!]]||
|~|[[Let's!フレッシュプリキュア！〜Hybrid ver.〜>難易度表/かんたん/Let's!フレッシュプリキュア！ 〜Hybrid ver.〜]](Wii2)||
|~|[[風になりたい>難易度表/かんたん/風になりたい]]||
|~|[[LISTEN TO THE STEREO!!>難易度表/かんたん/LISTEN TO THE STEREO!!]]||
|~|[[1 ドリーム>難易度表/かんたん/1 ドリーム]]||
|~|[[平成太鼓街道〜バチの女〜>難易度表/かんたん/平成太鼓街道〜バチの女〜]]||
|~|[[ドレミファソライロ>難易度表/かんたん/ドレミファソライロ]]||
|~|[[Checkmate!?>難易度表/かんたん/Checkmate!?]]||
|~|[[トラベルナ 〜モンスターハンタークロスより〜>難易度表/かんたん/トラベルナ 〜モンスターハンタークロスより〜]]||
|~|[[GO>難易度表/かんたん/GO]]||
|~|[[激レアさんスペシャルメドレー>難易度表/かんたん/激レアさんスペシャルメドレー]]||
|~|[[残響>難易度表/かんたん/残響]]||
|76|[[おしりかじり虫>難易度表/かんたん/おしりかじり虫]]||
|~|[[ぷるるんっ！しずくちゃん>難易度表/かんたん/ぷるるんっ！しずくちゃん]]||
|~|[[海雪>難易度表/かんたん/海雪]]||
|~|[[Break the Chain>難易度表/かんたん/Break the Chain]](Wii1)||
|~|[[泣かないで>難易度表/かんたん/泣かないで]]||
|~|[[ラブ・ストーリーは突然に>難易度表/かんたん/ラブ・ストーリーは突然に]]||
|~|[[UZA>難易度表/かんたん/UZA]]||
|~|[[みくみくにしてあげる♪【してやんよ】>難易度表/かんたん/みくみくにしてあげる♪【してやんよ】]]||
|~|[[ガチで勝とうゼッ！>難易度表/かんたん/ガチで勝とうゼッ！]]||
|~|[[くらえ！ブットバースト!!>難易度表/かんたん/くらえ！ブットバースト!!]]||
|~|[[ゼルダの伝説>難易度表/かんたん/ゼルダの伝説]]||
|~|[[入陣曲>難易度表/かんたん/入陣曲]]||
|~|[[君がくれた夏>難易度表/かんたん/君がくれた夏]]||
|~|[[360°>難易度表/かんたん/360°]]||
|~|[[いつも何度でも>難易度表/かんたん/いつも何度でも]]||
|~|[[未来はジョー！ジョー！>難易度表/かんたん/未来はジョー！ジョー！]]||
|~|[[見たこともない景色>難易度表/かんたん/見たこともない景色]]||
|~|[[PHOENIX>難易度表/かんたん/PHOENIX]]||
|~|[[夜に駆ける>難易度表/かんたん/夜に駆ける]]||
|75|[[北酒場>難易度表/かんたん/北酒場]]||
|~|[[スピード>難易度表/かんたん/スピード]]||
|~|[[茜色の約束>難易度表/かんたん/茜色の約束]]||
|~|[[浮世CROSSING>難易度表/かんたん/浮世CROSSING]]||
|~|[[おはよう！シャイニング・デイ>難易度表/かんたん/おはよう！シャイニング・デイ]]||
|~|[[24karats TRIBE OF GOLD>難易度表/かんたん/24karats TRIBE OF GOLD]]||
|~|[[マジLOVE1000％>難易度表/かんたん/マジLOVE1000％]]||
|~|[[からくりピエロ>難易度表/かんたん/からくりピエロ]]||
|~|[[泡沫、哀のまほろば>難易度表/かんたん/泡沫、哀のまほろば]]||
|~|[[Jump Up, Super Star! Short Version>難易度表/かんたん/Jump Up, Super Star! Short Version]]||
|~|[[さよならエレジー>難易度表/かんたん/さよならエレジー]]||
|74|[[アイアイ>難易度表/かんたん/アイアイ]]||
|~|[[Rock the Dragon>難易度表/かんたん/Rock the Dragon]]||
|~|[[殻をつけた雛鳥の踊り>難易度表/かんたん/殻をつけた雛鳥の踊り]]||
|~|[[名探偵コナン メイン・テーマ>難易度表/かんたん/名探偵コナン メイン・テーマ]]||
|~|[[序曲IX>難易度表/かんたん/序曲IX]]||
|~|[[GO-GO たまごっち！>難易度表/かんたん/GO-GO たまごっち！]]||
|~|[[Cry Baby>難易度表/かんたん/Cry Baby]]||
|73|[[詠人 (うたびと)>難易度表/おに/詠人]]||
|~|[[アメイジンググレイス>難易度表/かんたん/アメイジンググレイス]]||
|~|[[Let's!フレッシュプリキュア！>難易度表/かんたん/Let's!フレッシュプリキュア！]]||
|~|[[Dragon Soul>難易度表/かんたん/Dragon Soul]]||
|~|[[崖の上のポニョ>難易度表/かんたん/崖の上のポニョ]]||
|~|[[ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング>難易度表/かんたん/ドラゴンボールヒーローズ 邪悪龍ミッションシリーズ テーマソング]]||
|~|[[無敵のガールフレンド>難易度表/かんたん/無敵のガールフレンド]]||
|~|[[WiSH VOYAGE>難易度表/かんたん/WiSH VOYAGE]]||
|~|[[ガラスを割れ！>難易度表/かんたん/ガラスを割れ！]]||
|~|[[NATSU☆しようぜ！>難易度表/かんたん/NATSU☆しようぜ！]]||
|~|[[愛にできることはまだあるかい>難易度表/かんたん/愛にできることはまだあるかい]]||
|~|[[ごまかし>難易度表/かんたん/ごまかし]]||
|~|[[Star Wars: Main Title>難易度表/かんたん/Star Wars： Main Title]]||
|72|[[島唄>難易度表/かんたん/島唄]]||
|~|[[さらば>難易度表/かんたん/さらば]]||
|~|[[ミッドナイト デカレンジャー>難易度表/かんたん/ミッドナイト　デカレンジャー]]||
|~|[[キセキ>難易度表/かんたん/キセキ]]||
|~|[[Choo Choo TRAIN>難易度表/かんたん/Choo Choo TRAIN]](DS3〜)||
|~|[[天装戦隊ゴセイジャー>難易度表/かんたん/天装戦隊ゴセイジャー]]||
|~|[[ダイヤモンドハッピー>難易度表/かんたん/ダイヤモンドハッピー]]||
|~|[[START DASH SENSATION>難易度表/かんたん/START DASH SENSATION]]||
|~|[[眠り姫>難易度表/かんたん/眠り姫]]||
|~|[[約束>難易度表/かんたん/約束]]||
|~|[[スカッとばあちゃんの歌>難易度表/かんたん/スカッとばあちゃんの歌]]||
|~|[[GLORIOUS RO@D>難易度表/かんたん/GLORIOUS RO@D]]||
|71|[[CAT`S EYE>難易度表/かんたん/CAT'S EYE]]|[[アルプス一万尺>難易度表/かんたん/アルプス一万尺]](2人用)|
|~|[[コイ&#9829;クル>難易度表/かんたん/コイクル]]|[[【双打】 恋>難易度表/かんたん/【双打】 恋]]|
|~|[[A Perfect Sky>難易度表/かんたん/A Perfect Sky]]||
|~|[[おどるポンポコリン>難易度表/かんたん/おどるポンポコリン]](Wii1,4)||
|~|[[Let's!フレッシュプリキュア！〜Hybrid ver.〜>難易度表/かんたん/Let's!フレッシュプリキュア！ 〜Hybrid ver.〜]](AC13)||
|~|[[Hello,world!>難易度表/かんたん/Hello,world!]]||
|~|[[アローラ!!>難易度表/かんたん/アローラ!!]]||
|~|[[全力バタンキュー>難易度表/かんたん/全力バタンキュー]]||
|~|[[LUCKYSTAR>難易度表/かんたん/LUCKYSTAR]]||
|~|[[ほんわか家族〜ネコトモのうた〜>難易度表/かんたん/ほんわか家族〜ネコトモのうた〜]]||
|~|[[流星>難易度表/かんたん/流星]]||
|~|[[My Little Pony Theme Song>難易度表/かんたん/My Little Pony Theme Song]]||
|70|[[村祭り>難易度表/かんたん/村祭り]]||
|~|[[恋のつぼみ>難易度表/かんたん/恋のつぼみ]]||
|~|[[スパート！>難易度表/かんたん/スパート！]]||
|~|[[Jungle P>難易度表/かんたん/Jungle P]]||
|~|[[キン肉マン Go Fight!>難易度表/かんたん/キン肉マン Go Fight!]]||
|~|[[Break the Chain>難易度表/かんたん/Break the Chain]](Wii1除く)||
|~|[[歩み>難易度表/かんたん/歩み]]||
|~|[[烈車戦隊トッキュウジャー>難易度表/かんたん/烈車戦隊トッキュウジャー]]||
|~|[[ハピネスチャージプリキュア！WOW!>難易度表/かんたん/ハピネスチャージプリキュア!WOW!]]||
|~|[[キミに100パーセント>難易度表/かんたん/キミに100パーセント]]||
|~|[[人生ドラマチック>難易度表/かんたん/人生ドラマチック]]||
|~|[[ゆーがらお友達>難易度表/かんたん/ゆーがらお友達]]||
|~|[[He's a Pirate>難易度表/かんたん/He's a Pirate]]||
|69|[[サザエさん一家>難易度表/かんたん/サザエさん一家]](AC2〜)|[[【双打】 WE WILL ROCK YOU>難易度表/かんたん/【双打】 WE WILL ROCK YOU]]|
|~|[[勝手にしやがれ>難易度表/かんたん/勝手にしやがれ]]||
|~|[[レッツゴー!!ライダーキック>難易度表/かんたん/レッツゴー!!ライダーキック]]||
|~|[[たらこ・たらこ・たらこ>難易度表/かんたん/たらこ・たらこ・たらこ]]||
|~|[[是非題>難易度表/かんたん/是非題]]||
|~|[[オブセッション・ラティーノ>難易度表/かんたん/オブセッション・ラティーノ]]||
|~|[[ウルトラマンタロウ>難易度表/かんたん/ウルトラマンタロウ]]||
|~|[[ラ♪ラ♪ラ♪スイートプリキュア♪>難易度表/かんたん/ラ♪ラ♪ラ♪スイートプリキュア♪]]||
|~|[[限界突破×サバイバー>難易度表/かんたん/限界突破×サバイバー]]||
|~|[[アポロ>難易度表/かんたん/アポロ]]||
|~|[[キレキャリオン>難易度表/かんたん/キレキャリオン]]||
|68|[[FAITH>難易度表/かんたん/FAITH]]||
|~|[[Romanticが止まらない>難易度表/かんたん/Romanticが止まらない]]||
|~|[[タイヨウのうた>難易度表/かんたん/タイヨウのうた]]||
|~|[[春夏秋冬>難易度表/かんたん/春夏秋冬]]||
|~|[[SHINING LINE*>難易度表/かんたん/SHINING LINE*]]||
|~|[[「ポケットモンスター オメガルビー・アルファサファイア」チャンピオンメドレー>難易度表/かんたん/「ポケットモンスター オメガルビー・アルファサファイア」]]||
|~|[[Brand-new World>難易度表/かんたん/Brand-new World]]||
|~|[[Ninja Batman>難易度表/かんたん/Ninja Batman]]||
|67|[[最初から今まで>難易度表/かんたん/最初から今まで]]|[[レッツゴー!!ライダーキック>難易度表/かんたん/レッツゴー!!ライダーキック]](2人用)|
|~|[[アンパンマンたいそう>難易度表/かんたん/アンパンマンたいそう]](Wii4除く)||
|~|[[魔法のコトバ>難易度表/かんたん/魔法のコトバ]]||
|~|[[「笑うが勝ち！」でGO!>難易度表/かんたん/「笑うが勝ち!」でGO!]]||
|~|[[プリキュア5、スマイル go go!>難易度表/かんたん/プリキュア5、スマイル go go!]]||
|~|[[放開&#20320;的心>難易度表/かんたん/放開？的心]]||
|~|[[Shooting Star>難易度表/かんたん/Shooting Star]]||
|~|[[Let's go! スマイルプリキュア！>難易度表/かんたん/Let's go! スマイルプリキュア！]]||
|~|[[ミセナイナミダハ、きっといつか>難易度表/かんたん/ミセナイナミダハ、きっといつか]]||
|~|[[JUST LIVE MORE>難易度表/かんたん/JUST LIVE MORE]](3DS2・NSRPG除く)||
|~|[[ラピスラズリ>難易度表/かんたん/ラピスラズリ]]||
|~|[[君はロックを聴かない>難易度表/かんたん/君はロックを聴かない]]||
|~|[[猫>難易度表/かんたん/猫]]||
|66|[[VALENTI>難易度表/かんたん/VALENTI]]||
|~|[[だまって俺についてこい>難易度表/かんたん/だまって俺についてこい]]||
|~|[[ヤングマン(Y.M.C.A)>難易度表/かんたん/ヤングマン（Y.M.C.A）]](CS6〜)||
|~|[[ちきゅうはたまごっち?!>難易度表/かんたん/ちきゅうはたまごっち？！]]||
|~|[[Precious>難易度表/かんたん/Precious]]||
|~|[[マタアイマショウ>難易度表/かんたん/マタアイマショウ]]||
|~|[[True Blue>難易度表/かんたん/True Blue]](レイニー・ヤン)||
|~|[[ららら☆ハッピネス>難易度表/かんたん/ららら☆ハッピネス]](行列DS)||
|~|[[W-B-X 〜W-Boiled Extreme〜>難易度表/かんたん/W-B-X 〜W‐Boiled　Extreme〜]]||
|~|[[宇宙戦艦ヤマト>難易度表/かんたん/宇宙戦艦ヤマト]](DS3〜)||
|~|[[Shine>難易度表/かんたん/Shine]]||
|~|[[エビカニクス>難易度表/かんたん/エビカニクス]]||
|~|[[星影のエール>難易度表/かんたん/星影のエール]]||
|~|[[燃えてヒーロー>難易度表/かんたん/燃えてヒーロー]]||
|65|[[天才バカボン>難易度表/かんたん/天才バカボン]]||
|~|[[ゲゲゲの鬼太郎>難易度表/かんたん/ゲゲゲの鬼太郎]](泉谷しげる)||
|~|[[おどるポンポコリン>難易度表/かんたん/おどるポンポコリン]](AC12〜)((Wii1,4除く))||
|~|[[KIRA☆Power>難易度表/かんたん/KIRA☆Power]]||
|~|[[スーパードラゴンボールヒーローズ テーマソング>難易度表/かんたん/スーパードラゴンボールヒーローズ テーマソング]]||
|~|[[バイオレンストリガー>難易度表/かんたん/バイオレンストリガー]]||
|64|[[君にジュースを買ってあげる>難易度表/かんたん/君にジュースを買ってあげる]]||
|~|[[Pure>難易度表/かんたん/Pure]]||
|~|[[Onaraはずかしくないよ>難易度表/かんたん/Onaraはずかしくないよ]]||
|~|[[モノローグ>難易度表/かんたん/モノローグ]]||
|~|[[やじるしになって！>難易度表/かんたん/やじるしになって！]]||
|~|[[あたりまえ体操>難易度表/かんたん/あたりまえ体操]]||
|~|[[ウルトラマンX>難易度表/かんたん/ウルトラマンX]]||
|~|[[アシタノヒカリ>難易度表/かんたん/アシタノヒカリ]]||
|~|[[Unite The Force>難易度表/かんたん/Unite The Force]]||
|~|[[Heavenly Visitor>難易度表/かんたん/Heavenly Visitor]]||
|~|[[未来コネクション>難易度表/かんたん/未来コネクション]]||
|~|[[世界はあなたに笑いかけている>難易度表/かんたん/世界はあなたに笑いかけている]]||
|~|[[秒針を噛む>難易度表/かんたん/秒針を噛む]]||
|~|[[Circle of Seasons>難易度表/かんたん/Circle of Seasons]]||
|63|[[輝>難易度表/かんたん/輝]]||
|~|[[地上の星>難易度表/かんたん/地上の星]]||
|~|[[ハム太郎とっとこうた2005>難易度表/かんたん/ハム太郎とっとこうた2005]](Wii4)||
|~|[[みらくる☆トラベル>難易度表/かんたん/みらくる☆トラベル]]||
|~|[[ようかい体操第一>難易度表/かんたん/ようかい体操第一]]||
|~|[[みんながみんな英雄>難易度表/かんたん/みんながみんな英雄]]||
|~|[[トライ・エヴリシング>難易度表/かんたん/トライ・エヴリシング]]||
|~|[[超絶☆ダイナミック！>難易度表/かんたん/超絶☆ダイナミック！]]||
|~|[[OVER THE TOP>難易度表/かんたん/OVER THE TOP]]||
|~|[[青と夏>難易度表/かんたん/青と夏]]||
|62|[[NEXT LEVEL>難易度表/かんたん/NEXT LEVEL]]||
|~|[[プリキュア5、フル・スロットル GO GO!>難易度表/かんたん/プリキュア5、フル・スロットル GO GO!]](Wii1)||
|~|[[また君に恋してる>難易度表/かんたん/また君に恋してる]]||
|~|[[Lemon>難易度表/かんたん/Lemon]]||
|~|[[Act! Addict! Actors!>難易度表/かんたん/Act! Addict! Actors!]]||
|61|[[荒城の月>難易度表/かんたん/荒城の月]]|[[American Girls>難易度表/かんたん/American Girls]](2人用2P)|
|~|[[いいもんだなぁふるさとは 明治カールの歌>難易度表/かんたん/いいもんだなぁふるさとは 明治カールの歌]]|[[Rock the Dragon>難易度表/かんたん/Rock the Dragon]](2人用1P)|
|~|[[Prisoner Of Love>難易度表/かんたん/Prisoner Of Love]]||
|~|[[Super Star>難易度表/かんたん/Super Star]]||
|~|[[くまもとサプライズ！ くまモン体操>難易度表/かんたん/くまもとサプライズ！]]||
|~|[[チェインクロニクル 通常バトルメドレー ショートVer.>難易度表/かんたん/チェインクロニクル 通常バトルメドレー]]||
|~|[[OLA!!>難易度表/かんたん/OLA!!]]||
|~|[[おさかな毎日！さかなクン>難易度表/かんたん/おさかな毎日！さかなクン]]||
|~|[[やってみよう>難易度表/かんたん/やってみよう]]||
|~|[[Hero>難易度表/かんたん/Hero]]||
|~|[[アンビバレント>難易度表/かんたん/アンビバレント]]||
|~|[[BLUE SAPPHIRE>難易度表/かんたん/BLUE SAPPHIRE]]||
|~|[[ポケットからきゅんです！>難易度表/かんたん/ポケットからきゅんです！]]||
|60|[[にんげんっていいな>難易度表/かんたん/にんげんっていいな]](中島義実)|[[American Girls>難易度表/かんたん/American Girls]](2人用1P)|
|~|[[ユルユルでDE-O!>難易度表/かんたん/ユルユルでDE-O!]]||
|~|[[Climax Jump>難易度表/かんたん/Climax Jump]]||
|~|[[Together>難易度表/かんたん/Together]](Wii1)||
|~|[[アンパンマンたいそう>難易度表/かんたん/アンパンマンたいそう]](Wii4)||
|~|[[VAMOLA!キョウリュウジャー>難易度表/かんたん/VAMOLA!キョウリュウジャー]]||
|~|[[V（ボルト）>難易度表/かんたん/V（ボルト）]]||
|~|[[海の見える街>難易度表/かんたん/海の見える街]]||
|~|[[EXCITE>難易度表/かんたん/EXCITE]]||
|~|[[青空のラプソディ>難易度表/かんたん/青空のラプソディ]]||
|~|[[美女と野獣>難易度表/かんたん/美女と野獣]]||
|~|[[コロコロコミック40周年のうた>難易度表/かんたん/コロコロコミック40周年のうた]]||
|~|[[ドラマツルギー>難易度表/かんたん/ドラマツルギー]]||
|~|[[白日>難易度表/かんたん/白日]]||
|~|[[にひきはネコトモ！>難易度表/かんたん/にひきはネコトモ！]]||
|~|[[チュワパネ！>難易度表/かんたん/チュワパネ！]]||
|59|[[吉宗評判記 暴れん坊将軍BGM>難易度表/かんたん/吉宗評判記]]|[[Rock the Dragon>難易度表/かんたん/Rock the Dragon]](2人用2P)|
|~|[[今が大好き>難易度表/かんたん/今が大好き]]||
|~|[[海の声>難易度表/かんたん/海の声]]||
|~|[[ロードムービー>難易度表/かんたん/ロードムービー]]||
|~|[[アイノカタチ feat.HIDE(GReeeeN)>難易度表/かんたん/アイノカタチ feat.HIDE(GReeeeN)]]||
|58|[[もろびとこぞりて>難易度表/かんたん/もろびとこぞりて]]||
|~|[[WINDING ROAD>難易度表/かんたん/WINDING ROAD]]||
|~|[[プリキュア5、フル・スロットル GO GO!>難易度表/かんたん/プリキュア5、フル・スロットル GO GO!]](Wii1除く)||
|~|[[童話>難易度表/かんたん/童話]]||
|~|[[キラキラ Every day>難易度表/かんたん/キラキラ Every day]]||
|~|[[ダン・ダン ドゥビ・ズバー！>難易度表/かんたん/ダン・ダン ドゥビ・ズバー！]]||
|~|[[Dokkin&#9826;魔法つかいプリキュア！>難易度表/かんたん/Dokkin 魔法つかいプリキュア！]]||
|~|[[カウントダウン>難易度表/かんたん/カウントダウン]]||
|~|[[シンクロニシティ>難易度表/かんたん/シンクロニシティ]]||
|~|[[やさしさに包まれたなら>難易度表/かんたん/やさしさに包まれたなら]]||
|~|[[Taiko Session 〜Live Version〜>難易度表/かんたん/Taiko Session〜Live Version〜]]||
|57|[[炎神戦隊ゴーオンジャー>難易度表/かんたん/炎神戦隊ゴーオンジャー]]||
|~|[[愛のうた>難易度表/かんたん/愛のうた]]||
|~|[[スリラー>難易度表/かんたん/スリラー]]||
|~|[[バスターズ レディーゴー！>難易度表/かんたん/バスターズ レディーゴー！]]||
|~|[[カールのうた秋 池のほとり篇>難易度表/かんたん/カールのうた秋 池のほとり篇]]||
|~|[[さぁ行け！ニンニンジャー！>難易度表/かんたん/さぁ行け！ニンニンジャー！]]||
|~|[[我ら思う、故に我ら在り>難易度表/かんたん/我ら思う、故に我ら在り]]||
|~|[[ププッとフムッとかいけつダンス>難易度表/かんたん/ププッとフムッとかいけつダンス]]||
|~|[[Pretender>難易度表/かんたん/Pretender]]||
|~|[[感電>難易度表/かんたん/感電]]||
|56|[[スキップ ステップ アイランド>難易度表/かんたん/スキップ　ステップ　アイランド]]||
|~|[[Happy Go Lucky! ドキドキ！プリキュア>難易度表/かんたん/Happy Go Lucky! ドキドキ！プリキュア]]||
|~|[[POP TEAM EPIC>難易度表/かんたん/POP TEAM EPIC]]||
|~|[[炎>難易度表/かんたん/炎]]||
